lon,lat,hist_temp,future_temp,temp_diff,hist_suit,future_suit
-75.92,82.92,-19.0,-16.1,2.9,0,0
-74.92,82.92,-19.1,-16.2,2.9,0,0
-72.92,82.92,-18.6,-15.7,2.9,0,0
-71.92,82.92,-18.5,-15.6,2.9,0,0
-70.92,82.92,-18.1,-15.1,3.0,0,0
-69.92,82.92,-18.2,-15.3,2.9,0,0
-46.92,82.92,-15.5,-13.0,2.5,0,0
-44.92,82.92,-17.2,-14.4,2.8,0,0
-43.92,82.92,-17.1,-14.3,2.7,0,0
-42.92,82.92,-17.2,-14.4,2.8,0,0
-41.92,82.92,-16.7,-13.9,2.8,0,0
-40.92,82.92,-16.8,-14.0,2.8,0,0
-38.92,82.92,-16.9,-14.1,2.8,0,0
-37.92,82.92,-17.5,-14.7,2.8,0,0
-36.92,82.92,-18.1,-15.3,2.8,0,0
-35.92,82.92,-18.7,-15.8,3.0,0,0
-34.92,82.92,-18.9,-16.1,2.8,0,0
-33.92,82.92,-17.7,-14.8,2.9,0,0
-32.92,82.92,-19.1,-16.2,2.9,0,0
-31.92,82.92,-18.0,-15.1,2.9,0,0
-30.92,82.92,-19.1,-16.2,2.9,0,0
-29.92,82.92,-19.5,-16.6,2.9,0,0
-28.92,82.92,-19.6,-16.6,3.0,0,0
-27.92,82.92,-18.8,-15.8,3.0,0,0
-26.92,82.92,-18.4,-15.3,3.1,0,0
-25.92,82.92,-6.5,-3.5,3.1,0,0
-24.92,82.92,-1.4,1.7,3.1,0,0
-88.92,81.92,-21.1,-17.8,3.4,0,0
-87.92,81.92,-22.1,-18.9,3.2,0,0
-86.92,81.92,-21.6,-18.4,3.2,0,0
-85.92,81.92,-22.1,-19.0,3.2,0,0
-84.92,81.92,-21.1,-18.0,3.1,0,0
-83.92,81.92,-22.1,-19.0,3.0,0,0
-82.92,81.92,-20.9,-17.9,3.0,0,0
-81.92,81.92,-21.5,-18.5,3.0,0,0
-80.92,81.92,-22.5,-19.5,3.1,0,0
-78.92,81.92,-20.6,-17.5,3.0,0,0
-77.92,81.92,-22.9,-19.8,3.1,0,0
-76.92,81.92,-23.9,-20.9,3.0,0,0
-75.92,81.92,-24.3,-21.3,3.0,0,0
-74.92,81.92,-25.4,-22.4,3.0,0,0
-73.92,81.92,-22.6,-19.7,3.0,0,0
-72.92,81.92,-21.1,-18.1,3.0,0,0
-71.92,81.92,-19.8,-16.9,3.0,0,0
-70.92,81.92,-18.2,-15.2,3.0,0,0
-69.92,81.92,-16.8,-13.8,2.9,0,0
-68.92,81.92,-16.7,-13.8,2.9,0,0
-67.92,81.92,-17.2,-14.3,2.9,0,0
-66.92,81.92,-17.0,-14.1,2.9,0,0
-65.92,81.92,-19.5,-16.7,2.9,0,0
-64.92,81.92,-19.2,-16.3,2.8,0,0
-63.92,81.92,-18.9,-16.0,2.9,0,0
-58.92,81.92,-18.5,-15.7,2.8,0,0
-57.92,81.92,-19.2,-16.4,2.8,0,0
-56.92,81.92,-19.0,-16.2,2.8,0,0
-55.92,81.92,-19.0,-16.2,2.8,0,0
-54.92,81.92,-8.1,-5.4,2.8,0,0
-49.92,81.92,-16.1,-13.4,2.7,0,0
-48.92,81.92,-17.8,-15.2,2.7,0,0
-47.92,81.92,-17.4,-14.7,2.7,0,0
-44.92,81.92,-15.6,-13.0,2.6,0,0
-43.92,81.92,-17.2,-14.6,2.6,0,0
-42.92,81.92,-18.8,-16.2,2.6,0,0
-41.92,81.92,-19.7,-17.1,2.6,0,0
-40.92,81.92,-20.9,-18.3,2.6,0,0
-39.92,81.92,-21.7,-19.1,2.6,0,0
-38.92,81.92,-21.8,-19.1,2.6,0,0
-37.92,81.92,-21.0,-18.4,2.6,0,0
-36.92,81.92,-19.6,-17.0,2.6,0,0
-35.92,81.92,-19.2,-16.5,2.6,0,0
-34.92,81.92,-20.3,-17.6,2.7,0,0
-33.92,81.92,-20.4,-17.8,2.7,0,0
-32.92,81.92,-15.9,-13.2,2.7,0,0
-28.92,81.92,-19.8,-16.8,2.9,0,0
-27.92,81.92,-18.5,-15.7,2.8,0,0
-26.92,81.92,-18.4,-15.5,2.9,0,0
-25.92,81.92,0.0,2.9,2.9,0,0
-24.92,81.92,-18.1,-15.1,3.0,0,0
-22.92,81.92,-0.4,2.7,3.1,0,0
-21.92,81.92,-0.1,3.1,3.1,0,0
-18.92,81.92,0.0,3.3,3.3,0,0
-94.92,80.92,-21.1,-17.8,3.3,0,0
-93.92,80.92,-21.6,-18.2,3.4,0,0
-92.92,80.92,-21.2,-17.8,3.5,0,0
-91.92,80.92,-9.4,-5.9,3.5,0,0
-88.92,80.92,-20.0,-12.4,7.6,0,0
-87.92,80.92,-17.3,-14.1,3.1,0,0
-86.92,80.92,-20.9,-17.8,3.1,0,0
-84.92,80.92,-22.6,-19.5,3.1,0,0
-83.92,80.92,-21.6,-18.6,3.1,0,0
-82.92,80.92,-21.2,-18.1,3.1,0,0
-81.92,80.92,-19.9,-16.9,3.1,0,0
-80.92,80.92,-20.2,-17.2,3.1,0,0
-79.92,80.92,-19.4,-16.3,3.1,0,0
-76.92,80.92,-17.7,-14.5,3.2,0,0
-75.92,80.92,-18.1,-15.2,3.0,0,0
-74.92,80.92,-19.3,-16.3,3.0,0,0
-73.92,80.92,-21.3,-18.4,3.0,0,0
-72.92,80.92,-22.1,-19.1,3.0,0,0
-71.92,80.92,-20.0,-17.0,3.0,0,0
-70.92,80.92,-18.0,-15.1,2.9,0,0
-69.92,80.92,-20.3,-17.4,2.9,0,0
-68.92,80.92,-18.1,-15.2,2.9,0,0
-67.92,80.92,-16.5,-13.6,2.9,0,0
-64.92,80.92,-15.5,-12.7,2.9,0,0
-63.92,80.92,-17.3,-14.6,2.7,0,0
-62.92,80.92,-17.3,-14.6,2.7,0,0
-61.92,80.92,-17.6,-14.9,2.7,0,0
-59.92,80.92,-19.2,-16.5,2.7,0,0
-58.92,80.92,-20.5,-17.8,2.6,0,0
-57.92,80.92,-21.6,-19.0,2.6,0,0
-56.92,80.92,-22.0,-19.4,2.6,0,0
-55.92,80.92,-21.6,-19.0,2.6,0,0
-54.92,80.92,-21.0,-18.5,2.6,0,0
-53.92,80.92,-20.5,-17.9,2.5,0,0
-52.92,80.92,-20.4,-17.9,2.5,0,0
-51.92,80.92,-20.2,-17.7,2.5,0,0
-50.92,80.92,-20.1,-17.6,2.5,0,0
-49.92,80.92,-19.4,-16.9,2.5,0,0
-48.92,80.92,-19.5,-17.0,2.5,0,0
-47.92,80.92,-19.7,-17.2,2.5,0,0
-46.92,80.92,-20.1,-17.6,2.5,0,0
-45.92,80.92,-20.5,-18.0,2.5,0,0
-44.92,80.92,-20.8,-18.3,2.5,0,0
-43.92,80.92,-21.4,-18.9,2.5,0,0
-42.92,80.92,-22.1,-19.6,2.5,0,0
-41.92,80.92,-23.2,-20.7,2.5,0,0
-40.92,80.92,-24.5,-22.0,2.5,0,0
-39.92,80.92,-24.8,-22.3,2.5,0,0
-38.92,80.92,-24.6,-22.1,2.5,0,0
-37.92,80.92,-24.2,-21.7,2.5,0,0
-36.92,80.92,-23.3,-20.8,2.5,0,0
-35.92,80.92,-22.4,-19.9,2.5,0,0
-34.92,80.92,-22.4,-19.9,2.5,0,0
-33.92,80.92,-21.9,-19.3,2.5,0,0
-32.92,80.92,-21.4,-18.9,2.5,0,0
-31.92,80.92,-21.0,-18.4,2.6,0,0
-30.92,80.92,-20.7,-18.1,2.6,0,0
-29.92,80.92,-20.4,-17.8,2.6,0,0
-28.92,80.92,-19.9,-17.3,2.6,0,0
-27.92,80.92,-19.0,-16.3,2.7,0,0
-26.92,80.92,-19.0,-16.3,2.7,0,0
-25.92,80.92,-18.6,-15.9,2.7,0,0
-24.92,80.92,-18.9,-16.1,2.8,0,0
-23.92,80.92,-10.5,-7.7,2.8,0,0
-21.92,80.92,-17.1,-14.2,2.9,0,0
-20.92,80.92,-18.9,-15.9,3.0,0,0
-19.92,80.92,-17.9,-14.9,3.0,0,0
-18.92,80.92,-17.8,-14.7,3.1,0,0
-17.92,80.92,-17.8,-14.7,3.1,0,0
-16.92,80.92,-15.5,-12.3,3.2,0,0
-15.92,80.92,-14.7,-11.4,3.3,0,0
-14.92,80.92,0.0,3.3,3.3,0,0
56.08,80.92,-15.0,-11.1,3.9,0,0
64.08,80.92,-14.9,-11.1,3.9,0,0
65.08,80.92,-10.3,-6.3,4.0,0,0
94.08,80.92,-17.3,-13.5,3.8,0,0
95.08,80.92,-17.4,-13.5,3.8,0,0
96.08,80.92,-17.2,-13.3,3.9,0,0
-98.92,79.92,-20.3,-16.8,3.5,0,0
-95.92,79.92,-19.8,-16.4,3.5,0,0
-94.92,79.92,-19.9,-16.7,3.3,0,0
-93.92,79.92,-22.1,-19.0,3.1,0,0
-92.92,79.92,-23.6,-20.5,3.1,0,0
-91.92,79.92,-26.5,-23.5,3.0,0,0
-90.92,79.92,-25.2,-22.2,3.0,0,0
-89.92,79.92,-21.5,-18.5,3.0,0,0
-88.92,79.92,-19.6,-16.5,3.1,0,0
-87.92,79.92,-19.3,-16.2,3.1,0,0
-85.92,79.92,-19.2,-16.1,3.1,0,0
-84.92,79.92,-19.0,-15.9,3.1,0,0
-83.92,79.92,-18.6,-15.5,3.1,0,0
-82.92,79.92,-18.8,-15.7,3.1,0,0
-80.92,79.92,-19.3,-16.2,3.1,0,0
-79.92,79.92,-22.0,-18.9,3.0,0,0
-78.92,79.92,-22.8,-19.8,3.0,0,0
-77.92,79.92,-22.9,-19.9,3.0,0,0
-76.92,79.92,-22.3,-19.3,3.0,0,0
-75.92,79.92,-20.0,-17.1,3.0,0,0
-74.92,79.92,-19.4,-16.5,2.9,0,0
-73.92,79.92,-18.4,-15.1,3.2,0,0
-72.92,79.92,-17.2,-14.3,2.9,0,0
-71.92,79.92,-16.7,-13.8,2.9,0,0
-63.92,79.92,-16.5,-13.9,2.6,0,0
-62.92,79.92,-17.5,-14.9,2.6,0,0
-61.92,79.92,-18.0,-15.4,2.6,0,0
-60.92,79.92,-18.2,-15.6,2.6,0,0
-59.92,79.92,-19.1,-16.5,2.6,0,0
-58.92,79.92,-20.4,-17.8,2.5,0,0
-57.92,79.92,-21.0,-18.5,2.5,0,0
-56.92,79.92,-21.6,-19.1,2.5,0,0
-55.92,79.92,-22.2,-19.8,2.5,0,0
-54.92,79.92,-22.4,-20.0,2.4,0,0
