Year,Global_Production_tonnes,中非共和国_tonnes,乌干达_tonnes,印度_tonnes,印度尼西亚_tonnes,哥伦比亚_tonnes,埃塞俄比亚_tonnes,巴西_tonnes,洪都拉斯_tonnes,秘鲁_tonnes,越南_tonnes
1990,6063096.0,14314.0,128747.0,118100.0,412767.0,845000.0,204000.0,1464856.0,119784.0,81142.0,92000.0
1991,6062928.12,17625.0,147366.0,170000.0,428305.0,970740.0,210000.0,1520382.0,101890.0,82635.0,100000.0
1992,6086345.68,9036.0,110334.0,180000.0,436930.0,1100000.0,216000.0,1294373.0,111660.0,86519.0,119200.0
1993,5554947.48,9124.0,144551.0,162000.0,438868.0,818220.0,180000.0,1278759.0,110481.0,85603.0,136100.0
1994,5722717.74,14500.0,198371.0,208000.0,450191.0,721860.0,207000.0,1307289.0,126182.0,91340.0,180000.0
1995,5529155.56,9000.0,181465.0,180000.0,457801.0,821820.0,229980.0,930135.0,132400.0,96697.0,218000.0
1996,6197691.74,18000.0,287925.0,223000.0,421751.0,671401.0,229980.0,1369196.0,148830.0,106520.0,320100.0
1997,6072140.39,15000.0,219624.0,205000.0,426800.0,642239.0,228000.0,1228513.0,162658.0,133296.0,420500.0
1998,6632659.93,12037.0,205056.0,228000.0,512165.0,766980.0,229980.0,1689366.0,172772.0,144763.0,409300.0
1999,6790772.96,11260.0,251881.0,265000.0,524687.0,546720.0,217450.0,1631852.0,157409.0,167145.0,553200.0
2000,7498777.21,12900.0,143475.0,292000.0,554574.0,637140.0,229980.0,1903562.0,193309.0,191651.0,802500.0
2001,7379936.56,12300.0,197410.0,301000.0,569234.0,656160.0,157155.0,1819569.0,205545.0,196232.0,840600.0
2002,7928506.18,13000.0,209547.0,301000.0,682019.0,696840.0,160000.0,2610524.0,172727.0,212770.0,699500.0
2003,7039092.94,5520.0,150871.0,275275.0,663571.0,694080.0,126188.0,1987074.0,175284.0,203148.0,793700.0
2004,7862898.03,4320.0,170081.0,270500.0,647385.0,674400.0,156170.0,2465710.0,185090.0,231447.0,913800.0
2005,7392093.2299999995,3300.0,158100.0,275500.0,640365.0,667140.0,171631.0,2140169.0,190640.0,188611.0,831000.0
2006,8147848.41,1500.0,133310.0,274000.0,682158.0,724740.0,241482.0,2573368.0,213636.0,273178.0,985300.0
2007,8134626.21,2400.0,175346.0,288000.0,676475.0,757080.0,273400.0,2249011.0,236302.0,225992.0,1251000.0
2008,8489789.55,3300.0,211726.0,262000.0,698016.0,688680.0,260239.0,2796927.0,240948.0,273780.0,1055811.0
2009,7777818.180000001,3544.0,195871.0,262300.0,682591.0,468720.0,265469.0,2440056.0,231288.0,243479.0,1057539.6
2010,8460553.66,5270.0,166968.0,289600.0,684076.0,535380.0,370569.0,2907265.0,244335.0,264605.0,1105700.0
2011,8435159.07,6217.62,191371.0,302000.0,638600.0,468540.0,442270.0,2700540.0,284347.0,331547.0,1276506.0
2012,8972777.16,6922.63,186125.0,314000.0,691163.0,462000.0,449740.0,3037534.0,343403.0,320163.56,1260463.0
2013,8839105.83,7974.68,222894.0,318200.0,675800.0,653160.0,392006.0,2964538.0,280697.0,256241.43,1326688.0
2014,8800142.07,10799.0,220135.0,304500.0,643900.0,728400.0,467860.0,2804070.0,282230.0,222047.0,1406469.0
2015,9060739.0,9050.0,229149.0,327000.0,639412.0,827750.0,501240.0,2647504.0,332747.0,251938.0,1452999.3
2016,9551146.2,10120.0,243061.0,348000.0,639305.0,818243.0,494819.0,3024466.0,366542.0,277760.4,1460800.01
2017,9590519.05,9989.67,302063.0,312000.0,717962.0,851640.0,549531.0,2684508.0,477580.0,337330.0,1542397.88
2018,10828994.709999999,89979.42,284225.0,316000.0,756051.0,813420.0,573986.0,3552729.0,478830.76,369621.99,1616307.25
2019,10562406.34,202752.73,313933.0,319500.0,752512.0,885120.0,573580.0,3011745.0,472497.96,363319.59,1686765.17
2020,11239709.29,289283.3,360103.0,298000.0,762380.0,833400.0,584789.57,3705719.0,364552.38,353205.74,1763476.04
2021,10572623.93,297961.8,414007.0,334000.0,786191.0,560340.0,590400.0,2985581.0,417591.24,363996.83,1845032.98
2022,10988748.86,306900.66,507000.0,352000.0,774960.53,665015.95,545566.36,3179341.0,330111.31,357346.42,1953990.16
2023,11093804.719999999,316108.0,468000.0,360500.0,758725.0,680857.67,559400.0,3348510.0,384361.02,366940.03,1956782.46
2024,11134094.33,324922.99,402000.0,363000.0,807578.0,839846.69,575696.18,3387724.0,324015.02,358993.78,2015289.0
