country,lat,lon
Albania,41.1533,20.1683
Algeria,28.0339,1.6596
Argentina,-38.4161,-63.6167
Australia,-25.2744,133.7751
Austria,47.5162,14.5501
Belgium,50.5039,4.4699
Bosnia Herzegovina,43.9159,17.6791
Brazil,-14.235,-51.9253
Bulgaria,42.7339,25.4858
Burundi,-3.3731,29.9189
Canada,56.1304,-106.3468
Chile,-35.6751,-71.543
China,35.8617,104.1954
Colombia,4.5709,-74.2973
Costa Rica,9.7489,-83.7534
Czechia,49.8175,15.473
Denmark,56.2639,9.5018
Ecuador,-1.8312,-78.1834
Egypt,26.8206,30.8025
El Salvador,13.7942,-88.8965
Ethiopia,9.145,40.4897
Finland,61.9241,25.7482
France,46.2276,2.2137
Germany,51.1657,10.4515
Greece,39.0742,21.8243
Guatemala,15.7835,-90.2308
Honduras,15.2,-86.2419
India,20.5937,78.9629
Indonesia,-0.7893,113.9213
Ireland,53.1424,-7.6921
Italy,41.8719,12.5674
Japan,36.2048,138.2529
Kenya,-0.0236,37.9062
"Korea, Rep.",35.9078,127.7669
Lao People's Dem. Rep.,19.8563,102.4955
Malaysia,4.2105,101.9758
Mexico,23.6345,-102.5528
Morocco,31.7917,-7.0926
Netherlands,52.1326,5.2913
New Zealand,-40.9006,174.886
Nicaragua,12.8654,-85.2072
North Macedonia,41.6086,21.7453
Norway,60.472,8.4689
Panama,8.538,-80.7821
Papua New Guinea,-6.315,143.9555
Peru,-9.19,-75.0152
Philippines,12.8797,121.774
Poland,51.9194,19.1451
Portugal,39.3999,-8.2245
Republic of Korea,35.9078,127.7669
Russian Federation,61.524,105.3188
Rwanda,-1.9403,29.8739
Saudi Arabia,23.8859,45.0792
Serbia,44.0165,21.0059
Singapore,1.3521,103.8198
South Africa,-30.5595,22.9375
Spain,40.4637,-3.7492
Sweden,60.1282,18.6435
Switzerland,46.8182,8.2275
Tanzania,-6.369,34.8888
Thailand,15.87,100.9925
Turkey,38.9637,35.2433
Türkiye,38.9637,35.2433
Uganda,1.3733,32.2903
United Arab Emirates,23.4241,53.8478
United Kingdom,55.3781,-3.436
United States,37.0902,-95.7129
United States of America,37.0902,-95.7129
Uruguay,-32.5228,-55.7658
Viet Nam,14.0583,108.2772
Vietnam,14.0583,108.2772
