code,lat,lon
HK,22.3407,114.20169
HK,22.341694,114.194208
HK,22.33352,114.19678
HK,22.331223,114.188143
HK,22.323871,114.203796
HK,22.3366,114.182904
HK,22.32287,114.21344
HK,22.32068,114.21015
HK,22.31982,114.20857
HK,22.328222,114.181048
HK,22.335369,114.176125
HK,22.33735,114.17411
HK,22.315936,114.214427
HK,22.315382,114.21705
HK,22.323102,114.172155
HK,22.31385,114.2216
HK,22.309342,114.191437
HK,22.31853,114.17469
HK,22.31955,114.17157
HK,22.32257,114.16904
HK,22.310027,114.220882
HK,22.31255,114.22524
HK,22.318242,114.169937
HK,22.310818,114.226208
HK,22.31813,114.16866
HK,22.315398,114.17103
HK,22.30386,114.18883
HK,22.301677,114.188071
HK,22.319787,114.162605
HK,22.303007,114.18157
HK,22.381427,114.188484
HK,22.30772,114.17166
HK,22.305914,114.172472
HK,22.316737,114.16147
HK,22.30087,114.17837
HK,22.38631,114.20359
HK,22.303115,114.172536
HK,22.300959,114.175817
HK,22.326917,114.153605
HK,22.385467,114.187778
HK,22.298266,114.178378
HK,22.292995,114.199348
HK,22.30095,114.17288
HK,22.33718,114.14944
HK,22.291954,114.195354
HK,22.299522,114.172586
HK,22.297329,114.176483
HK,22.33464,114.14878
HK,22.290962,114.2026
HK,22.291131,114.208106
HK,22.28394,114.15819
HK,22.28445,114.15846
HK,22.283433,114.157377
HK,22.284612,114.157381
HK,22.283015,114.159281
HK,22.285492,114.158685
HK,22.28372,114.15612
HK,22.282465,114.156284
HK,22.28152,114.15869
HK,22.285142,114.155854
HK,22.28113,114.15946
HK,22.28162,114.15598
HK,22.28651,114.16076
HK,22.27983,114.15669
HK,22.279489,114.160546
HK,22.28598,114.1531
HK,22.27852,114.16087
HK,22.2809,114.15264
HK,22.28786,114.15221
HK,22.279166,114.164423
HK,22.285327,114.149931
HK,22.279297,114.165226
HK,22.277657,114.164619
HK,22.277187,114.164326
HK,22.28072,114.16725
HK,22.277401,114.166246
HK,22.28756,114.14732
HK,22.277805,114.170021
HK,22.294992,114.165646
HK,22.284176,114.142356
HK,22.29466,114.16923
HK,22.294049,114.170575
HK,22.295674,114.168792
HK,22.274584,114.171776
HK,22.270317,114.149651
HK,22.28117,114.175682
HK,22.296608,114.169669
HK,22.2934,114.173793
HK,22.29657,114.171258
HK,22.298961,114.167982
HK,22.280551,114.176802
HK,22.296685,114.172018
HK,22.287214,114.138773
HK,22.301861,114.162779
HK,22.30044,114.16781
HK,22.278148,114.178669
HK,22.297653,114.173694
HK,22.304,114.16158
HK,22.283084,114.135882
HK,22.29058,114.20979
HK,22.287554,114.211874
HK,22.286661,114.214299
HK,22.290043,114.195896
HK,22.285806,114.217402
HK,22.284989,114.216254
HK,22.284723,114.223245
HK,22.288098,114.192578
HK,22.304246,114.251974
HK,22.323608,114.257683
HK,22.27832,114.18192
HK,22.280456,114.182261
HK,22.277534,114.183017
HK,22.279601,114.183805
HK,22.278027,114.185143
HK,22.280479,114.18524
HK,22.280518,114.186596
HK,22.286607,114.135667
HK,22.282658,114.12881
HK,22.278827,114.188301
HK,22.27876,114.19166
HK,22.28228,114.192244
HK,22.267523,114.18711
AE,25.229669,55.319303
AE,25.23109,55.32647
AE,25.23424,55.311429
AE,25.251444,55.330561
AE,25.246806,55.339464
AE,25.251866,55.332833
AE,25.25374,55.303499
AE,25.257815,55.327233
AE,25.223093,55.352372
AE,25.221542,55.285242
AE,25.224252,55.354236
AE,25.21769,55.283103
AE,25.259304,55.341268
AE,25.257361,55.344323
AE,25.248634,55.352868
AE,25.266826,55.317043
AE,25.214725,55.281249
AE,25.25258,55.35408
AE,25.21554,55.2789
AE,25.215721,55.277276
AE,25.263571,55.348924
AE,25.210916,55.276096
AE,25.23914,55.271046
AE,25.198562,55.279598
AE,25.196637,55.280883
AE,25.252533,55.36618
AE,25.252985,55.366166
AE,25.19834,55.27844
AE,25.266795,55.355415
AE,25.200078,55.275122
AE,25.194946,55.279258
AE,25.200837,55.27365
AE,25.204797,55.270852
AE,25.194108,55.276799
AE,25.193461,55.275872
AE,25.19097,55.278268
AE,25.208165,55.262536
AE,25.259902,55.372894
AE,25.191536,55.267392
AE,25.232497,55.386295
AE,25.216583,55.25253
AE,25.17714,55.281207
AE,25.258705,55.381125
AE,25.215955,55.250767
AE,25.17412,55.283361
AE,25.198592,55.248568
AE,25.215973,55.409539
AE,25.29743,55.371903
AE,25.216871,55.410021
AE,25.160459,55.370307
AE,25.321535,55.375703
AE,25.33381,55.375645
AE,25.347002,55.368358
AE,25.168955,55.227421
AE,25.169505,55.241709
AE,25.180482,55.234971
AE,25.178726,55.242529
AE,25.1854,55.231484
AE,25.156861,55.205695
AE,25.155405,55.181644
AE,25.133537,55.185668
AE,25.118742,55.202801
AE,25.118437,55.203113
AE,25.118568,55.196847
AE,25.107851,55.197906
AE,25.104321,55.201419
AE,25.110489,55.185525
AE,25.099555,55.204816
AE,25.121773,55.163079
